ID,NAME,TYPE,COLOR,Drapeaux du Monde
1,HONGRIE,EUROPE,#71558e
2,ISRAËL,ASIE ET OCÉANIE,#cd5db1
3,AUTRICHE,EUROPE,#71558e
4,HONG-KONG,ASIE ET OCÉANIE,#cd5db1
5,PARAGUAY,AMÉRIQUE DU SUD,#ffac14
6,DANEMARK,EUROPE,#71558e
7,FINLANDE,EUROPE,#71558e
8,PALESTINE,ASIE ET OCÉANIE,#cd5db1
9,NOUVELLE-ZÉLANDE,ASIE ET OCÉANIE,#cd5db1
10,CROATIE,EUROPE,#71558e
11,IRLANDE,EUROPE,#71558e
12,NORVÈGE,EUROPE,#71558e
13,SINGAPOUR,ASIE ET OCÉANIE,#cd5db1
14,ÉMIRATS ARABES UNIS,ASIE ET OCÉANIE,#cd5db1
15,JAMAÏQUE,AMÉRIQUE DU NORD,#bd2649
16,RUSSIE,ASIE ET OCÉANIE,#cd5db1
17,TURQUIE,ASIE ET OCÉANIE,#cd5db1
18,ESPAGNE,EUROPE,#71558e
19,CHINE,ASIE ET OCÉANIE,#cd5db1
20,INDE,ASIE ET OCÉANIE,#cd5db1
21,ÉTATS-UNIS,AMÉRIQUE DU NORD,#bd2649
22,BRÉSIL,AMÉRIQUE DU SUD,#ffac14
23,MEXIQUE,AMÉRIQUE DU NORD,#bd2649
24,JAPON,ASIE ET OCÉANIE,#cd5db1
25,ROYAUME-UNI,EUROPE,#71558e
26,FRANCE,EUROPE,#71558e
27,ITALIE,EUROPE,#71558e
28,AFRIQUE DU SUD,AFRIQUE,#ef7735
29,COREE DU SUD,ASIE ET OCÉANIE,#cd5db1
30,ALLEMAGNE,EUROPE,#71558e
31,COLOMBIE,AMÉRIQUE DU SUD,#ffac14
32,EGYPTE,AFRIQUE,#ef7735
33,ARGENTINE,AMÉRIQUE DU SUD,#ffac14
34,UKRAINE,EUROPE,#71558e
35,CANADA,AMÉRIQUE DU NORD,#bd2649
36,VENEZUELA,AMÉRIQUE DU SUD,#ffac14
37,PÉROU,AMÉRIQUE DU SUD,#ffac14
38,EL SALVADOR,AMÉRIQUE DU NORD,#bd2649
39,AUSTRALIE,ASIE ET OCÉANIE,#cd5db1
40,NIGER,AFRIQUE,#ef7735
41,ÉQUATEUR,AMÉRIQUE DU SUD,#ffac14
42,CHILI,AMÉRIQUE DU SUD,#ffac14
43,BELGIQUE,EUROPE,#71558e
44,TCHAD,AFRIQUE,#ef7735
45,CUBA,AMÉRIQUE DU NORD,#bd2649
46,BOLIVIE,AMÉRIQUE DU SUD,#ffac14
47,GRÈCE,EUROPE,#71558e
48,PORTUGAL,EUROPE,#71558e
49,SUÈDE,EUROPE,#71558e
50,SUISSE,EUROPE,#71558e
51,PAYS-BAS,EUROPE,#71558e
52,MAROC,AFRIQUE,#ef7735
53,SOUDAIN,AFRIQUE,#ef7735
54,SOMALIE,AFRIQUE,#ef7735
55,SIERRA LEONE,AFRIQUE,#ef7735
56,TUNISIE,AFRIQUE,#ef7735
57,ZIMBABWE,AFRIQUE,#ef7735
58,SÉNÉGAL,AFRIQUE,#ef7735
59,OUGANDA,AFRIQUE,#ef7735
60,ANGOLA,AFRIQUE,#ef7735
61,ALGÉRIE,AFRIQUE,#ef7735
62,CAMEROUN,AFRIQUE,#ef7735
63,BURKINA FASO,AFRIQUE,#ef7735
64,BOTSWANA,AFRIQUE,#ef7735
65,GHANA,AFRIQUE,#ef7735
66,GUINÉE,AFRIQUE,#ef7735
67,CÔTE D'IVOIRE,AFRIQUE,#ef7735
68,KENYA,AFRIQUE,#ef7735
69,ÉTHIOPIE,AFRIQUE,#ef7735
70,MADAGASCAR,AFRIQUE,#ef7735
71,HONDURAS,AMÉRIQUE DU NORD,#bd2649
72,GUATEMALA,AMÉRIQUE DU NORD,#bd2649
73,PORTO RICO,AMÉRIQUE DU NORD,#bd2649
74,NICARAGUA,AMÉRIQUE DU NORD,#bd2650
75,COSTA RICA,AMÉRIQUE DU NORD,#bd2651
76,BARBADES,AMÉRIQUE DU NORD,#bd2652
77,ANTIGUA ET BARBUDA,AMÉRIQUE DU NORD,#bd2653
78,ARUBA,AMÉRIQUE DU NORD,#bd2654
79,BAHAMAS,AMÉRIQUE DU NORD,#bd2655
80,HAÏTI,AMÉRIQUE DU NORD,#bd2656
81,GUYANE,AMÉRIQUE DU SUD,#ffac14
82,RÉPUBLIQUE DOMINICAINE,AMÉRIQUE DU SUD,#ffac14
83,PANAMA,AMÉRIQUE DU SUD,#ffac14
84,SAINT-VINCENT-ET-LES GRENADINES,AMÉRIQUE DU SUD,#ffac14
85,SAINTE-LUCIE,AMÉRIQUE DU SUD,#ffac14
86,SURINAME,AMÉRIQUE DU SUD,#ffac14
87,TRINITÉ-ET-TOBAGO,AMÉRIQUE DU SUD,#ffac14
88,URUGUAY,AMÉRIQUE DU SUD,#ffac14
