ID,NAME,TYPE,COLOR,Flaggen der Welt
1,UNGARN,EUROPA,#71558e
2,ISRAEL,ASIEN & OZEANIEN,#cd5db1
3,ÖSTERREICH,EUROPA,#71558e
4,HONGKONG,ASIEN & OZEANIEN,#cd5db1
5,PARAGUAY,SÜDAMERIKA,#ffac14
6, DÄNEMARK,EUROPA,#71558e
7,FINNLAND,EUROPA,#71558e
8,PALÄSTINA,ASIEN & OZEANIEN,#cd5db1
9,NEUSEELAND,ASIEN & OZEANIEN,#cd5db1
10,KROATIEN,EUROPA,#71558e
11,IRLAND,EUROPA,#71558e
12,NORWEGEN,EUROPA,#71558e
13,SINGAPUR,ASIEN & OZEANIEN,#cd5db1
14,VEREINIGTE ARABISCHE EMIRATE,ASIEN & OZEANIEN,#cd5db1
15,JAMAIKA,NORDAMERIKA,#bd2649
16,RUSSLAND,ASIEN & OZEANIEN,#cd5db1
17, TÜRKEI,ASIEN & OZEANIEN,#cd5db1
18,SPANIEN,EUROPA,#71558e
19,CHINA,ASIEN & OZEANIEN,#cd5db1
20,INDIEN,ASIEN & OZEANIEN,#cd5db1
21,VEREINIGTE STAATEN,NORDAMERIKA,#bd2649
22,BRASILIEN,SÜDAMERIKA,#ffac14
23,MEXIKO,NORDAMERIKA,#bd2649
24,JAPAN,ASIEN & OZEANIEN,#cd5db1
25,VEREINIGTES KÖNIGREICH,EUROPA,#71558e
26,FRANKREICH,EUROPA,#71558e
27,ITALIEN,EUROPA,#71558e
28,SÜDAFRIKA,AFRIKA,#ef7735
29,SÜDKOREA,ASIEN & OZEANIEN,#cd5db1
30,DEUTSCHLAND,EUROPA,#71558e
31,KOLUMBIEN,SÜDAMERIKA,#ffac14
32,ÄGYPTEN,AFRIKA,#ef7735
33,ARGENTINIEN,SÜDAMERIKA,#ffac14
34,UKRAINE,EUROPA,#71558e
35,KANADA,NORDAMERIKA,#bd2649
36,VENEZUELA,SÜDAMERIKA,#ffac14
37,PERU,SÜDAMERIKA,#ffac14
38,EL SALVADOR,NORDAMERIKA,#bd2649
39,AUSTRALIEN,ASIEN & OZEANIEN,#cd5db1
40,NIGER,AFRIKA,#ef7735
41,ECUADOR,SÜDAMERIKA,#ffac14
42,CHILE,SÜDAMERIKA,#ffac14
43,BELGIEN,EUROPA,#71558e
44,TSCHAD,AFRIKA,#ef7735
45,KUBA,NORDAMERIKA,#bd2649
46,BOLIVIEN,SÜDAMERIKA,#ffac14
47,GRIECHENLAND,EUROPA,#71558e
48,PORTUGAL,EUROPA,#71558e
49,SCHWEDEN,EUROPA,#71558e
50,SCHWEIZ,EUROPA,#71558e
51,NIEDERLANDE,EUROPA,#71558e
52,MAROKKO,AFRIKA,#ef7735
53,SUDAN,AFRIKA,#ef7735
54,SOMALIA,AFRIKA,#ef7735
55,SIERRA LEONE,AFRIKA,#ef7735
56,TUNESIEN,AFRIKA,#ef7735
57,SIMBABWE,AFRIKA,#ef7735
58,SENEGAL,AFRIKA,#ef7735
59,UGANDA,AFRIKA,#ef7735
60,ANGOLA,AFRIKA,#ef7735
61,ALGERIEN,AFRIKA,#ef7735
62,KAMERUN,AFRIKA,#ef7735
63,BURKINA FASO,AFRIKA,#ef7735
64,BOTSUANA,AFRIKA,#ef7735
65,GHANA,AFRIKA,#ef7735
66,GUINEA,AFRIKA,#ef7735
67,ELFENBEINKÜSTE,AFRIKA,#ef7735
68,KENIA,AFRIKA,#ef7735
69,ÄTHIOPIEN,AFRIKA,#ef7735
70,MADAGASKAR,AFRIKA,#ef7735
71,HONDURAS,NORDAMERIKA,#bd2649
72,GUATEMALA,NORDAMERIKA,#bd2649
73,PUERTO RICO,NORDAMERIKA,#bd2649
74,NICARAGUA,NORDAMERIKA,#bd2650
75,COSTA RICA,NORDAMERIKA,#bd2651
76,BARBADE,NORDAMERIKA,#bd2652
77,ANTIGUA UND BARBUDA,NORDAMERIKA,#bd2653
78,ARUBA,NORDAMERIKA,#bd2654
79,BAHAMAS,NORDAMERIKA,#bd2655
80,HAITI,NORDAMERIKA,#bd2656
81,GUYANA,SÜDAMERIKA,#ffac14
82,DOMINIKANISCHE REPUBLIK,SÜDAMERIKA,#ffac14
83,PANAMA,SÜDAMERIKA,#ffac14
84,ST. VINCENT UND DIE GRENADINEN,SÜDAMERIKA,#ffac14
85,ST. LUCIA,SÜDAMERIKA,#ffac14
86,SURINAME,SÜDAMERIKA,#ffac14
87,TRINIDAD UND TOBAGO,SÜDAMERIKA,#ffac14
88,URUGUAY,SÜDAMERIKA,#ffac14
