ID,NAME,TYPE,COLOR,Bandeiras do Mundo
1,HUNGRIA,EUROPA,#71558e
2,ISRAEL,ÁSIA E OCEANIA,#cd5db1
3,ÁUSTRIA,EUROPA,#71558e
4,HONG KONG,ÁSIA E OCEANIA,#cd5db1
5,PARAGUAI,AMÉRICA DO SUL,#ffac14
6,DINAMARCA,EUROPA,#71558e
7,FINLÂNDIA,EUROPA,#71558e
8,PALESTINA,ÁSIA E OCEANIA,#cd5db1
9,NOVA ZELÂNDIA,ÁSIA E OCEANIA,#cd5db1
10,CROÁCIA,EUROPA,#71558e
11,IRLANDA,EUROPA,#71558e
12,NORUEGA,EUROPA,#71558e
13,SINGAPURA,ÁSIA E OCEANIA,#cd5db1
14,EMIRADOS ÁRABES UNIDOS,ÁSIA E OCEANIA,#cd5db1
15,JAMAICA,AMÉRICA DO NORTE,#bd2649
16,RÚSSIA,ÁSIA E OCEANIA,#cd5db1
17,TURQUIA,ÁSIA E OCEANIA,#cd5db1
18,ESPANHA,EUROPA,#71558e
19,CHINA,ÁSIA E OCEANIA,#cd5db1
20,ÍNDIA,ÁSIA E OCEANIA,#cd5db1
21,ESTADOS UNIDOS,AMÉRICA DO NORTE,#bd2649
22,BRASIL,AMÉRICA DO SUL,#ffac14
23,MÉXICO,AMÉRICA DO NORTE,#bd2649
24,JAPÃO,ÁSIA E OCEANIA,#cd5db1
25,REINO UNIDO,EUROPA,#71558e
26,FRANÇA,EUROPA,#71558e
27,ITÁLIA,EUROPA,#71558e
28,ÁFRICA DO SUL,ÁFRICA,#ef7735
29,COREIA DO SUL,ÁSIA E OCEANIA,#cd5db1
30,ALEMANHA,EUROPA,#71558e
31,COLÔMBIA,AMÉRICA DO SUL,#ffac14
32,EGITO,ÁFRICA,#ef7735
33,ARGENTINA,AMÉRICA DO SUL,#ffac14
34,UCRÂNIA,EUROPA,#71558e
35,CANADÁ,AMÉRICA DO NORTE,#bd2649
36,VENEZUELA,AMÉRICA DO SUL,#ffac14
37,PERU,AMÉRICA DO SUL,#ffac14
38,EL SALVADOR,AMÉRICA DO NORTE,#bd2649
39,AUSTRÁLIA,ÁSIA E OCEANIA,#cd5db1
40,NÍGER,ÁFRICA,#ef7735
41,EQUADOR,AMÉRICA DO SUL,#ffac14
42,CHILE,AMÉRICA DO SUL,#ffac14
43,BÉLGICA,EUROPA,#71558e
44,CHAD,ÁFRICA,#ef7735
45,CUBA,AMÉRICA DO NORTE,#bd2649
46,BOLÍVIA,AMÉRICA DO SUL,#ffac14
47,GRÉCIA,EUROPA,#71558e
48,PORTUGAL,EUROPA,#71558e
49,SUÉCIA,EUROPA,#71558e
50,SUIÇA,EUROPA,#71558e
51,PAÍSES BAIXOS,EUROPA,#71558e
52,MARROCOS,ÁFRICA,#ef7735
53,SUDÃO,ÁFRICA,#ef7735
54,SOMÁLIA,ÁFRICA,#ef7735
55,SERRA LEOA,ÁFRICA,#ef7735
56,TUNÍSIA,ÁFRICA,#ef7735
57,ZIMBÁBUE,ÁFRICA,#ef7735
58,SENEGAL,ÁFRICA,#ef7735
59,UGANDA,ÁFRICA,#ef7735
60,ANGOLA,ÁFRICA,#ef7735
61,ARGÉLIA,ÁFRICA,#ef7735
62,CAMARÕES,ÁFRICA,#ef7735
63,BURQUINA FASO,ÁFRICA,#ef7735
64,BOTSUANA,ÁFRICA,#ef7735
65,GANA,ÁFRICA,#ef7735
66,GUINÉ,ÁFRICA,#ef7735
67,COSTA DO MARFIM,ÁFRICA,#ef7735
68,QUÉNIA,ÁFRICA,#ef7735
69,ETIÓPIA,ÁFRICA,#ef7735
70,MADAGÁSCAR,ÁFRICA,#ef7735
71,HONDURAS,AMÉRICA DO NORTE,#bd2649
72,GUATEMALA,AMÉRICA DO NORTE,#bd2649
73,PORTO RICO,AMÉRICA DO NORTE,#bd2649
74,NICARÁGUA,AMÉRICA DO NORTE,#bd2650
75,COSTA RICA,AMÉRICA DO NORTE,#bd2651
76,BARBADOS,AMÉRICA DO NORTE,#bd2652
77,ANTÍGUA E BARBUDA,AMÉRICA DO NORTE,#bd2653
78,ARUBA,AMÉRICA DO NORTE,#bd2654
79,BAHAMAS,AMÉRICA DO NORTE,#bd2655
80,HAITI,AMÉRICA DO NORTE,#bd2656
81,GUIANA,AMÉRICA DO SUL,#ffac14
82,REPÚBLICA DOMINICANA,AMÉRICA DO SUL,#ffac14
83,PANAMÁ,AMÉRICA DO SUL,#ffac14
84,SÃO VICENTE E GRANADINAS,AMÉRICA DO SUL,#ffac14
85,SANTA LÚCIA,AMÉRICA DO SUL,#ffac14
86,SURINAME,AMÉRICA DO SUL,#ffac14
87,TRINIDAD E TOBAGO,AMÉRICA DO SUL,#ffac14
88,URUGUAI,AMÉRICA DO SUL,#ffac14
